Ano,Município,Faixa Empr Início Jan,Salário,SaldoMov
2007,110020,01,673812,1464
2007,110020,02,-118726,-219
2007,110020,03,-165742,-21
2007,110020,04,-74394,98
2007,110020,05,-10929,288
2007,110020,06,-61818,400
2007,110020,07,41852,164
2007,110020,08,228652,305
2007,110020,09,673,-43
2007,120040,01,493955,1089
2007,120040,02,-91225,-179
2007,120040,03,-157015,-292
2007,120040,04,-133748,-254
2007,120040,05,118299,-76
2007,120040,06,-162004,-197
2007,120040,07,4977,-19
2007,120040,08,2653,18
2007,120040,09,-180930,-309
2007,130260,01,4612326,7315
2007,130260,02,154861,475
2007,130260,03,-94524,651
2007,130260,04,-489725,667
2007,130260,05,840162,2462
2007,130260,06,-1305077,1062
2007,130260,07,1198781,3910
2007,130260,08,-806425,1500
2007,130260,09,62113,3280
2007,140010,01,420166,752
2007,140010,02,27204,16
2007,140010,03,-41864,5
2007,140010,04,-74996,4
2007,140010,05,48939,75
2007,140010,06,-77743,-19
2007,140010,07,187995,305
2007,140010,08,-4343,-6
2007,140010,09,65889,152
2007,150080,01,493660,1192
2007,150080,02,-33942,-28
2007,150080,03,4129,129
2007,150080,04,-77208,104
2007,150080,05,83217,203
2007,150080,06,-377151,-392
2007,150080,07,431983,788
2007,150080,08,-12066,119
2007,150080,09,135486,390
2007,150140,01,2537219,5735
2007,150140,02,-305768,15
2007,150140,03,-248083,132
2007,150140,04,-366826,211
2007,150140,05,-348349,554
2007,150140,06,-569657,353
2007,150140,07,-459603,1173
2007,150140,08,-260992,1350
2007,150140,09,-1622682,-2356
2007,150420,01,597956,1153
2007,150420,02,8506,79
2007,150420,03,3994,108
2007,150420,04,287882,535
2007,150420,05,-65047,-32
2007,150420,06,-41139,198
2007,150420,07,411167,510
2007,150420,08,-39922,-1
2007,150420,09,-4693,10
2007,150553,01,139334,483
2007,150553,02,-2664,15
2007,150553,03,35033,100
2007,150553,04,-7672,152
2007,150553,05,63720,115
2007,150553,06,115304,215
2007,150553,07,347749,534
2007,150553,08,173,-15
2007,150553,09,805973,730
2007,150810,01,98115,258
2007,150810,02,-34495,-46
2007,150810,03,-29503,-24
2007,150810,04,-228556,-210
2007,150810,05,-14340,26
2007,150810,06,108278,168
2007,150810,08,2641445,3225
2007,160030,01,941482,1456
2007,160030,02,-116509,32
2007,160030,03,-116082,-126
2007,160030,04,-86333,73
2007,160030,05,21394,147
2007,160030,06,-368070,-158
2007,160030,07,17852,-52
2007,160030,08,-1548,-3
2007,172100,01,706643,1303
2007,172100,02,-32939,125
2007,172100,03,-270490,-162
2007,172100,04,-236466,-27
2007,172100,05,-52107,121
2007,172100,06,129609,311
2007,172100,07,-20397,21
2007,172100,09,145465,83
2007,210530,01,666622,1466
2007,210530,02,-19401,0
2007,210530,03,-122075,-98
2007,210530,04,181234,417
2007,210530,05,-44797,-42
2007,210530,06,-130918,-2
2007,210530,07,-42605,26
2007,211130,01,4841044,6347
2007,211130,02,-68392,-5
2007,211130,03,-232067,14
2007,211130,04,44298,995
2007,211130,05,274302,782
2007,211130,06,519161,1175
2007,211130,07,-356254,64
2007,211130,08,295151,751
2007,211130,09,-138091,294
2007,221100,01,2008262,4744
2007,221100,02,-294726,-196
2007,221100,03,-449977,-536
2007,221100,04,-392547,-179
2007,221100,05,-49194,126
2007,221100,06,149152,575
2007,221100,07,25301,41
2007,221100,08,125782,283
2007,221100,09,70268,236
2007,230370,01,114274,329
2007,230370,02,-35297,-41
2007,230370,03,16923,30
2007,230370,04,-14398,-1
2007,230370,05,19769,27
2007,230370,06,64143,109
2007,230370,07,-13580,3
2007,230370,08,19211,105
2007,230370,09,-2278872,-2684
2007,230440,01,6907427,18411
2007,230440,02,-389137,-69
2007,230440,03,-271975,375
2007,230440,04,-1397208,269
2007,230440,05,-600570,1158
2007,230440,06,-1013145,942
2007,230440,07,-898645,227
2007,230440,08,-412012,223
2007,230440,09,323046,2496
2007,230765,01,599098,1355
2007,230765,02,-109439,-49
2007,230765,03,-107053,-218
2007,230765,04,-10369,30
2007,230765,05,-118596,58
2007,230765,06,-186269,-227
2007,230765,07,132278,682
2007,230765,08,-78672,156
2007,230765,09,-138345,333
2007,240800,01,1326988,2870
2007,240800,02,37934,91
2007,240800,03,-128523,-126
2007,240800,04,-39608,50
2007,240800,05,228451,213
2007,240800,06,259946,150
2007,240800,07,-172941,-316
2007,240800,08,9271,-250
2007,240800,09,-17021,-96
2007,240810,01,3087397,6385
2007,240810,02,-361632,-402
2007,240810,03,-697767,-400
2007,240810,04,-800011,-408
2007,240810,05,-62028,1201
2007,240810,06,-308740,606
2007,240810,07,-248940,142
2007,240810,08,-86102,237
2007,240810,09,1823086,4041
2007,250400,01,598706,1483
2007,250400,02,-140705,-185
2007,250400,03,-96080,-23
2007,250400,04,-145950,-73
2007,250400,05,118768,472
2007,250400,06,-79555,26
2007,250400,07,-55864,-58
2007,250400,08,-32566,-28
2007,250400,09,449640,1092
2007,250750,01,1923860,4238
2007,250750,02,-267756,-387
2007,250750,03,-54625,-1
2007,250750,04,-561739,-337
2007,250750,05,26765,289
2007,250750,06,-292984,181
2007,250750,07,225772,794
2007,250750,08,-252003,-5
2007,250750,09,101481,392
2007,260290,01,128311,395
2007,260290,02,10376,115
2007,260290,03,-70319,46
2007,260290,04,-100224,36
2007,260290,05,-143232,-102
2007,260290,06,33425,214
2007,260290,07,-310894,-213
2007,260290,08,-330304,-268
2007,260290,09,-160429,55
2007,260410,01,1550578,3639
2007,260410,02,-39610,-41
2007,260410,03,-74807,-217
2007,260410,04,33634,38
2007,260410,05,6300,47
2007,260410,06,-94139,349
2007,260410,07,-2178,-1
2007,260410,08,-50338,-90
2007,260720,01,1027482,2237
2007,260720,02,-59829,-44
2007,260720,03,-51008,9
2007,260720,04,-88278,18
2007,260720,05,-76829,22
2007,260720,06,-7149,156
2007,260720,07,-77064,71
2007,260720,08,-87625,-113
2007,260720,09,54348,83
2007,260790,01,1124473,2163
2007,260790,02,-24595,55
2007,260790,03,74990,158
2007,260790,04,-109905,182
2007,260790,05,362264,869
2007,260790,06,216649,545
2007,260790,07,-234873,50
2007,260790,08,-58456,156
2007,260790,09,1818,222
2007,260960,01,817828,1607
2007,260960,02,52955,178
2007,260960,03,-21688,-8
2007,260960,04,42915,-45
2007,260960,05,206361,340
2007,260960,06,64018,514
2007,260960,07,-144457,-30
2007,260960,08,245767,823
2007,260960,09,-121393,167
2007,261110,01,582180,1343
2007,261110,02,-73359,-61
2007,261110,03,-79258,-28
2007,261110,04,-214793,-354
2007,261110,05,-214147,-56
2007,261110,06,-251339,-88
2007,261110,07,-338286,-71
2007,261110,08,651185,1705
2007,261160,01,7819588,12946
2007,261160,02,-415772,-375
2007,261160,03,-213212,290
2007,261160,04,-1374829,-136
2007,261160,05,-419851,227
2007,261160,06,-630776,1063
2007,261160,07,98071,1845
2007,261160,08,16073,843
2007,261160,09,535349,2138
2007,270430,01,1240266,2655
2007,270430,02,-390300,-628
2007,270430,03,-400660,-371
2007,270430,04,-509852,-28
2007,270430,05,-197787,232
2007,270430,06,-480075,76
2007,270430,07,-289366,-33
2007,270430,08,-150037,555
2007,270430,09,-873227,-1746
2007,280030,01,1740734,3987
2007,280030,02,-121715,-60
2007,280030,03,-183900,80
2007,280030,04,-362777,-66
2007,280030,05,-509062,-187
2007,280030,06,-77520,468
2007,280030,07,-999916,-990
2007,280030,08,-254300,176
2007,280030,09,-259191,87
2007,290570,01,1091175,1774
2007,290570,02,-39234,-46
2007,290570,03,-85903,5
2007,290570,04,-229777,-78
2007,290570,05,-268303,46
2007,290570,06,-1204315,-20
2007,290570,07,313640,1116
2007,290570,08,-976617,8
2007,290570,09,-164015,555
2007,291080,01,1934538,3971
2007,291080,02,-197627,-246
2007,291080,03,-96664,107
2007,291080,04,-128461,42
2007,291080,05,31863,431
2007,291080,06,-368932,-441
2007,291080,07,-69211,-94
2007,291080,09,96697,194
2007,291920,01,1014954,1867
2007,291920,02,54434,210
2007,291920,03,-129726,17
2007,291920,04,304261,793
2007,291920,05,-169983,-73
2007,291920,06,-426025,-351
2007,291920,07,409135,1361
2007,291920,08,45393,371
2007,291920,09,613864,1594
2007,292740,01,10079864,18405
2007,292740,02,-629509,-489
2007,292740,03,-693283,-206
2007,292740,04,-1227774,46
2007,292740,05,-1041074,159
2007,292740,06,-1765992,987
2007,292740,07,144604,1404
2007,292740,08,-1566045,-1519
2007,292740,09,-2079911,217
2007,292920,01,70011,65
2007,292920,02,15906,36
2007,292920,03,-12696,-9
2007,292920,04,-365940,-154
2007,292920,05,-33976,-48
2007,292920,06,-75467,149
2007,292920,07,-924,-2
2007,293070,01,411730,662
2007,293070,02,52221,88
2007,293070,03,-96534,-107
2007,293070,04,-70386,-4
2007,293070,05,-149695,8
2007,293070,06,187782,532
2007,293070,07,-77220,-35
2007,293070,08,-49492,-9
2007,293070,09,-20594,-17
2007,293330,01,589909,1955
2007,293330,02,-331844,-174
2007,293330,03,-394108,-336
2007,293330,04,-230939,-36
2007,293330,05,-243480,-220
2007,293330,06,326,59
2007,293330,07,-214714,-251
2007,293330,08,156908,103
2007,293330,09,50899,199
2007,310400,01,236062,544
2007,310400,02,37075,-122
2007,310400,03,-34386,-65
2007,310400,04,99885,-37
2007,310400,05,-39462,-63
2007,310400,06,60265,96
2007,310400,07,-4744,278
2007,310400,08,263560,251
2007,310620,01,15828925,27850
2007,310620,02,-662337,384
2007,310620,03,-1506570,150
2007,310620,04,-404500,2989
2007,310620,05,-242547,3521
2007,310620,06,406331,6215
2007,310620,07,-2468236,-149
2007,310620,08,-1106343,1206
2007,310620,09,1253323,13305
2007,310670,01,1174093,1766
2007,310670,02,-75161,15
2007,310670,03,61216,491
2007,310670,04,240120,758
2007,310670,05,-223854,313
2007,310670,06,-695679,112
2007,310670,07,233076,957
2007,310670,08,363336,839
2007,310670,09,3770438,4915
2007,311860,01,2483556,5129
2007,311860,02,-137064,273
2007,311860,03,-473868,-257
2007,311860,04,-569873,761
2007,311860,05,255330,1516
2007,311860,06,-673453,432
2007,311860,07,362013,1115
2007,311860,08,-475777,-377
2007,311860,09,-6311957,-5450
2007,312230,01,908239,1947
2007,312230,02,-239654,-257
2007,312230,03,-169734,-83
2007,312230,04,-220925,-243
2007,312230,05,-228558,-21
2007,312230,06,-235628,-13
2007,312230,07,209854,167
2007,312230,08,-15834,133
2007,312230,09,-69972,7
2007,312510,01,155917,208
2007,312510,02,-10084,-4
2007,312510,03,-2803,16
2007,312510,04,3049,75
2007,312510,05,-66749,-45
2007,312510,06,-6602,16
2007,312510,07,132785,231
2007,312510,08,-112115,-161
2007,312770,01,1409360,2744
2007,312770,02,-282972,-370
2007,312770,03,-249971,-221
2007,312770,04,-134105,-34
2007,312770,05,-291883,-227
2007,312770,06,-264608,-262
2007,312770,07,-29811,56
2007,312770,08,-584939,-804
2007,313130,01,1113698,2140
2007,313130,02,-227598,-269
2007,313130,03,-123202,-92
2007,313130,04,-127701,-79
2007,313130,05,-277742,-19
2007,313130,06,421651,630
2007,313130,07,-1001961,-440
2007,313130,08,66853,214
2007,313130,09,928086,2171
2007,313170,01,537254,1073
2007,313170,02,-27266,-22
2007,313170,03,-19935,-27
2007,313170,04,-115921,-63
2007,313170,05,-60849,-81
2007,313170,06,-163084,-178
2007,313170,07,-335908,-287
2007,313170,08,101166,249
2007,313170,09,679481,972
2007,313670,01,1685408,3422
2007,313670,02,-373705,-446
2007,313670,03,-182967,-15
