Ano,Município,Grau Instrução,Salário,SaldoMov
2007,110020,01,-1793,7
2007,110020,02,11072,26
2007,110020,03,-27226,5
2007,110020,04,19106,112
2007,110020,05,20594,295
2007,110020,06,-108016,81
2007,110020,07,518757,1599
2007,110020,08,-70048,86
2007,110020,09,150934,225
2007,120040,01,-24045,-42
2007,120040,02,-169871,-282
2007,120040,03,5628,70
2007,120040,04,-138149,-256
2007,120040,05,-80307,-182
2007,120040,06,99846,-68
2007,120040,07,130209,452
2007,120040,08,16715,46
2007,120040,09,54936,43
2007,130260,01,88072,117
2007,130260,02,-89254,2
2007,130260,03,469813,958
2007,130260,04,478234,1383
2007,130260,05,1033541,2438
2007,130260,06,93633,1415
2007,130260,07,4491462,13646
2007,130260,08,-438626,714
2007,130260,09,-1954383,649
2007,140010,01,-4842,-5
2007,140010,02,14327,27
2007,140010,03,-23345,-86
2007,140010,04,138753,251
2007,140010,05,22908,108
2007,140010,06,52662,152
2007,140010,07,218105,636
2007,140010,08,14867,89
2007,140010,09,117812,112
2007,150080,01,694,4
2007,150080,02,-60292,-104
2007,150080,03,64338,190
2007,150080,04,-1821,5
2007,150080,05,152598,537
2007,150080,06,-79272,-36
2007,150080,07,454878,1670
2007,150080,08,-21964,59
2007,150080,09,138949,180
2007,150140,01,-5577,10
2007,150140,02,2100,146
2007,150140,03,-115680,-93
2007,150140,04,-686389,-653
2007,150140,05,-754047,306
2007,150140,06,23607,898
2007,150140,07,1081578,6059
2007,150140,08,-233140,147
2007,150140,09,-957193,347
2007,150420,01,10945,37
2007,150420,02,-32432,73
2007,150420,03,-3505,74
2007,150420,04,47389,265
2007,150420,05,98010,373
2007,150420,06,137747,339
2007,150420,07,661356,1255
2007,150420,08,50454,53
2007,150420,09,188740,91
2007,150553,01,-2224,-9
2007,150553,02,-1070,10
2007,150553,03,19646,74
2007,150553,04,169923,391
2007,150553,05,-93392,-84
2007,150553,06,99112,197
2007,150553,07,944997,1611
2007,150553,08,29239,33
2007,150553,09,330719,106
2007,150810,01,-9377,-9
2007,150810,02,295231,439
2007,150810,03,291611,416
2007,150810,04,410672,716
2007,150810,05,303795,409
2007,150810,06,61543,172
2007,150810,07,993673,1183
2007,150810,08,9183,10
2007,150810,09,184613,61
2007,160030,01,5752,13
2007,160030,02,5179,2
2007,160030,03,-16787,42
2007,160030,04,85704,26
2007,160030,05,206088,135
2007,160030,06,113764,334
2007,160030,07,-142281,559
2007,160030,08,19280,63
2007,160030,09,15487,195
2007,172100,01,49114,21
2007,172100,02,-40555,-48
2007,172100,03,40089,47
2007,172100,04,28697,155
2007,172100,05,-196403,7
2007,172100,06,-46740,144
2007,172100,07,152986,940
2007,172100,08,50669,200
2007,172100,09,331461,309
2007,210530,01,5222,13
2007,210530,02,54154,118
2007,210530,03,65131,176
2007,210530,04,44876,214
2007,210530,05,24420,104
2007,210530,06,28081,156
2007,210530,07,208407,831
2007,210530,08,61925,112
2007,210530,09,-4156,43
2007,211130,01,31367,74
2007,211130,02,144161,421
2007,211130,03,-72637,65
2007,211130,04,106018,448
2007,211130,05,413889,882
2007,211130,06,162864,372
2007,211130,07,3132801,6944
2007,211130,08,-33065,199
2007,211130,09,1293754,1012
2007,221100,01,-29259,-67
2007,221100,02,-51261,95
2007,221100,03,-204949,-325
2007,221100,04,134000,387
2007,221100,05,40391,331
2007,221100,06,384862,1060
2007,221100,07,762773,2796
2007,221100,08,34623,268
2007,221100,09,121141,549
2007,230370,01,4055,15
2007,230370,02,-17876,-27
2007,230370,03,-13864,-35
2007,230370,04,-14049,-32
2007,230370,05,-23643,-83
2007,230370,06,-27357,-11
2007,230370,07,-1437918,-1552
2007,230370,08,-168140,-162
2007,230370,09,-409035,-236
2007,230440,01,36601,95
2007,230440,02,113737,428
2007,230440,03,-410991,-658
2007,230440,04,-81923,779
2007,230440,05,-31632,1796
2007,230440,06,304409,2152
2007,230440,07,4416154,17264
2007,230440,08,-74234,1221
2007,230440,09,-2024340,955
2007,230765,01,5611,12
2007,230765,02,-4132,-4
2007,230765,03,-15642,-16
2007,230765,04,-74077,-62
2007,230765,05,-35517,125
2007,230765,06,33836,164
2007,230765,07,289918,1708
2007,230765,08,-40108,92
2007,230765,09,-177256,101
2007,240800,01,-19186,-46
2007,240800,02,-188159,-383
2007,240800,03,-91939,-226
2007,240800,04,43586,147
2007,240800,05,116665,366
2007,240800,06,131011,144
2007,240800,07,1436765,2379
2007,240800,08,59701,123
2007,240800,09,16053,82
2007,240810,01,46542,117
2007,240810,02,70736,439
2007,240810,03,-130817,-45
2007,240810,04,460297,1400
2007,240810,05,165111,547
2007,240810,06,-740140,1047
2007,240810,07,2058628,6938
2007,240810,08,124616,405
2007,240810,09,290290,554
2007,250400,01,-12426,-35
2007,250400,02,-85223,-146
2007,250400,03,9043,50
2007,250400,04,-72286,-77
2007,250400,05,172818,704
2007,250400,06,177396,491
2007,250400,07,470847,1521
2007,250400,08,-2824,70
2007,250400,09,-40951,128
2007,250750,01,-6356,8
2007,250750,02,-28159,82
2007,250750,03,-194102,-174
2007,250750,04,43395,302
2007,250750,05,241036,884
2007,250750,06,129256,357
2007,250750,07,982871,3112
2007,250750,08,-21159,291
2007,250750,09,-298011,302
2007,260290,01,-38467,-93
2007,260290,02,-51882,-49
2007,260290,03,-12086,38
2007,260290,04,-163724,-59
2007,260290,05,-211617,-69
2007,260290,06,-48754,92
2007,260290,07,-271982,378
2007,260290,08,-5162,39
2007,260290,09,-139616,1
2007,260410,01,-5177,28
2007,260410,02,-100592,8
2007,260410,03,-38512,69
2007,260410,04,80517,345
2007,260410,05,21098,111
2007,260410,06,112060,318
2007,260410,07,926064,2314
