Ano,Município,Raça Cor,Salário,SaldoMov
2007,110020,01,4426,15
2007,110020,02,-370125,-76
2007,110020,04,-2557,14
2007,110020,06,-53419,-85
2007,110020,08,854996,2470
2007,110020,09,75298,89
2007,110020,{ñ,4761,9
2007,120040,01,-7563,-3
2007,120040,02,-140385,-373
2007,120040,04,5686,37
2007,120040,06,18193,-17
2007,120040,08,12431,24
2007,120040,09,10480,115
2007,120040,{ñ,-3880,-2
2007,130260,01,-136659,-111
2007,130260,02,-2288173,1165
2007,130260,04,-578819,-469
2007,130260,06,56340,421
2007,130260,08,6338215,19118
2007,130260,09,686545,1016
2007,130260,{ñ,95043,182
2007,140010,01,-4258,-1
2007,140010,02,89820,193
2007,140010,04,1924,24
2007,140010,06,-2111,-19
2007,140010,08,466893,1096
2007,140010,09,-965,-9
2007,140010,{ñ,-56,0
2007,150080,01,-2322,-4
2007,150080,02,145766,617
2007,150080,04,73086,199
2007,150080,06,-21189,-28
2007,150080,08,414744,1625
2007,150080,09,38963,97
2007,150080,{ñ,-940,-1
2007,150140,01,-87629,-134
2007,150140,02,-2096897,-1095
2007,150140,04,-343534,-247
2007,150140,06,-341943,-567
2007,150140,08,1145260,8883
2007,150140,09,50563,285
2007,150140,{ñ,29439,42
2007,150420,01,684,4
2007,150420,02,-98716,61
2007,150420,04,-12707,30
2007,150420,06,7128,14
2007,150420,08,1019649,2178
2007,150420,09,224344,250
2007,150420,{ñ,18322,23
2007,150553,01,685,0
2007,150553,02,1155354,1119
2007,150553,04,-23051,9
2007,150553,06,37039,66
2007,150553,08,379709,1175
2007,150553,09,-52131,-40
2007,150553,{ñ,-655,0
2007,150810,01,-16757,-7
2007,150810,02,172679,225
2007,150810,04,112231,98
2007,150810,06,1424,2
2007,150810,08,2295108,3072
2007,150810,09,-23741,7
2007,160030,01,9320,6
2007,160030,02,-134663,-99
2007,160030,04,18348,100
2007,160030,06,7769,12
2007,160030,08,271247,1209
2007,160030,09,117110,134
2007,160030,{ñ,3055,7
2007,172100,01,-44344,-33
2007,172100,02,-253650,144
2007,172100,04,16366,103
2007,172100,06,4440,41
2007,172100,08,612717,1635
2007,172100,09,33817,-113
2007,172100,{ñ,-28,-2
2007,210530,01,-319,5
2007,210530,02,238042,624
2007,210530,04,20274,95
2007,210530,06,-10913,-10
2007,210530,08,231420,1019
2007,210530,09,9556,34
2007,211130,01,-21996,-1
2007,211130,02,691222,1292
2007,211130,04,393247,928
2007,211130,06,-67347,27
2007,211130,08,4087225,7891
2007,211130,09,95286,270
2007,221100,01,-33727,-18
2007,221100,02,1889,793
2007,221100,04,232803,581
2007,221100,06,-81256,-109
2007,221100,08,1057698,3825
2007,221100,09,15281,23
2007,221100,{ñ,-367,-1
2007,230370,01,17769,52
2007,230370,02,-268514,-23
2007,230370,04,-26899,-31
2007,230370,06,2569,4
2007,230370,08,-1837112,-2138
2007,230370,09,4360,13
2007,230440,01,-400911,-375
2007,230440,02,-2986181,2510
2007,230440,04,137421,543
2007,230440,06,200777,687
2007,230440,08,5009319,19636
2007,230440,09,233493,973
2007,230440,{ñ,53863,58
2007,230765,01,1295,15
2007,230765,02,-272072,263
2007,230765,04,14446,41
2007,230765,06,-12525,13
2007,230765,08,254617,1750
2007,230765,09,-2478,39
2007,230765,{ñ,-650,-1
2007,240800,01,-22441,-36
2007,240800,02,286744,471
2007,240800,04,-75296,-136
2007,240800,06,64351,108
2007,240800,08,640157,1244
2007,240800,09,610982,935
2007,240810,01,-67392,-90
2007,240810,02,-860689,2280
2007,240810,04,15895,83
2007,240810,06,92392,244
2007,240810,08,3371456,8932
2007,240810,09,-191168,-19
2007,240810,{ñ,-15231,-28
2007,250400,01,-5259,-12
2007,250400,02,243837,1155
2007,250400,04,-26177,52
2007,250400,06,6212,24
2007,250400,08,443996,1550
2007,250400,09,-46439,-63
2007,250400,{ñ,224,0
2007,250750,01,-60816,-20
2007,250750,02,-323032,949
2007,250750,04,57146,202
2007,250750,06,31988,96
2007,250750,08,802909,3174
2007,250750,09,319308,736
2007,250750,{ñ,21268,27
2007,260290,01,-7889,13
2007,260290,02,-544011,-131
2007,260290,04,38847,59
2007,260290,06,7560,-12
2007,260290,08,-201172,943
2007,260290,09,-45905,-66
2007,260290,{ñ,-190720,-528
2007,260410,01,-6943,-14
2007,260410,02,784230,1807
2007,260410,04,24781,76
2007,260410,06,-18897,-30
2007,260410,08,469086,1707
2007,260410,09,62966,153
2007,260410,{ñ,14217,25
2007,260720,01,-8445,-12
2007,260720,02,-136816,297
2007,260720,04,149062,300
2007,260720,06,-3068,13
2007,260720,08,635614,1820
2007,260720,09,-4547,18
2007,260720,{ñ,2248,3
2007,260790,01,6923,17
2007,260790,02,-293676,220
2007,260790,04,50351,215
2007,260790,06,10579,28
2007,260790,08,1580706,3871
2007,260790,09,-6119,47
2007,260790,{ñ,3601,2
2007,260960,01,-11894,-17
2007,260960,02,757617,1963
2007,260960,04,109977,137
2007,260960,06,-20047,-11
2007,260960,08,239988,1299
2007,260960,09,64281,172
2007,260960,{ñ,2384,3
2007,261110,01,-19860,-22
2007,261110,02,-158339,-99
2007,261110,04,4494,141
2007,261110,06,5860,43
2007,261110,08,133433,2109
2007,261110,09,104048,243
2007,261110,{ñ,-7453,-25
2007,261160,01,-28160,-31
2007,261160,02,1323621,5686
2007,261160,04,240201,894
2007,261160,06,38316,119
2007,261160,08,3733034,11755
2007,261160,09,93791,383
2007,261160,{ñ,13838,35
2007,270430,01,-95610,-119
2007,270430,02,-1278637,-247
2007,270430,04,-131139,-111
2007,270430,06,32807,77
2007,270430,08,-617676,936
2007,270430,09,25292,142
2007,270430,{ñ,13925,34
2007,280030,01,14439,34
2007,280030,02,-389701,831
2007,280030,04,109421,478
2007,280030,06,-51708,-6
2007,280030,08,-1130150,1283
2007,280030,09,395447,818
2007,280030,{ñ,24605,57
2007,290570,01,-12829,7
2007,290570,02,-1069412,3
2007,290570,04,-41786,392
2007,290570,06,-49738,-2
2007,290570,08,-851133,2650
2007,290570,09,515100,414
2007,290570,{ñ,-53551,-104
2007,291080,01,10967,40
2007,291080,02,-115163,44
2007,291080,04,283659,636
2007,291080,06,1537,-1
2007,291080,08,946176,3112
2007,291080,09,-2699,26
2007,291080,{ñ,77726,107
2007,291920,01,7720,30
2007,291920,02,360772,1510
2007,291920,04,7119,148
2007,291920,06,-30226,-50
2007,291920,08,1128394,3692
2007,291920,09,245531,459
2007,291920,{ñ,-3003,0
2007,292740,01,-868022,-1277
2007,292740,02,-1619650,1237
2007,292740,04,1069838,3660
2007,292740,06,-28349,17
