Ano,Município,Sexo,Salário,SaldoMov
2007,110020,01,328930,1768
2007,110020,02,184450,668
2007,120040,01,-34271,-92
2007,120040,02,-70767,-127
2007,130260,01,2915287,14571
2007,130260,02,1257205,6751
2007,140010,01,408245,951
2007,140010,02,143002,333
2007,150080,01,413658,1724
2007,150080,02,234450,781
2007,150140,01,-1703059,4094
2007,150140,02,58318,3073
2007,150420,01,922650,2025
2007,150420,02,236054,535
2007,150553,01,1137971,1652
2007,150553,02,358979,677
2007,150810,01,2461337,3188
2007,150810,02,79607,209
2007,160030,01,209698,961
2007,160030,02,82488,408
2007,172100,01,270769,1249
2007,172100,02,98549,526
2007,210530,01,417046,1333
2007,210530,02,71014,434
2007,211130,01,3705562,7625
2007,211130,02,1473590,2792
2007,221100,01,829448,3514
2007,221100,02,362873,1580
2007,230370,01,-627840,-412
2007,230370,02,-1479987,-1711
2007,230440,01,1051230,15326
2007,230440,02,1196551,8706
2007,230765,01,-106570,1627
2007,230765,02,89203,493
2007,240800,01,1019574,1513
2007,240800,02,484923,1073
2007,240810,01,1066106,6145
2007,240810,02,1279157,5257
2007,250400,01,567446,2090
2007,250400,02,48948,616
2007,250750,01,393557,3671
2007,250750,02,455214,1493
2007,260290,01,-839184,63
2007,260290,02,-104106,215
2007,260410,01,572217,1916
2007,260410,02,757223,1808
2007,260720,01,734862,2332
2007,260720,02,-100814,107
2007,260790,01,887877,3240
2007,260790,02,464488,1160
2007,260960,01,890333,2547
2007,260960,02,251973,999
2007,261110,01,71253,1536
2007,261110,02,-9070,854
2007,261160,01,3552153,12228
2007,261160,02,1862488,6613
2007,270430,01,-2096552,-676
2007,270430,02,45514,1388
2007,280030,01,-825834,2821
2007,280030,02,-201813,674
2007,290570,01,-1420791,3085
2007,290570,02,-142558,275
2007,291080,01,705185,2471
2007,291080,02,497018,1493
2007,291920,01,1501664,4914
2007,291920,02,214643,875
2007,292740,01,-939136,11055
2007,292740,02,2160016,7949
2007,292920,01,-438775,23
2007,292920,02,35689,14
2007,293070,01,259900,1031
2007,293070,02,-72088,87
2007,293330,01,-397013,808
2007,293330,02,-220030,491
2007,310400,01,472884,605
2007,310400,02,145371,277
2007,310620,01,3818677,29666
