Ano,Município,IBGE Subsetor,Salário,SaldoMov
2007,110020,1,4440,4
2007,110020,10,-1842,8
2007,110020,11,1597,9
2007,110020,14,116114,163
2007,110020,15,390,107
2007,110020,16,-18082,383
2007,110020,17,-52658,214
2007,110020,18,75848,113
2007,110020,19,-35722,116
2007,110020,2,-955,29
2007,110020,20,28505,135
2007,110020,21,294742,623
2007,110020,22,91335,180
2007,110020,23,-7021,186
2007,110020,24,-54701,-122
2007,110020,25,30503,51
2007,110020,3,6000,20
2007,110020,4,-4555,-9
2007,110020,5,-5030,-8
2007,110020,6,1260,2
2007,110020,7,54650,97
2007,110020,8,-5822,-22
2007,110020,9,-9689,-8
2007,120040,1,-4673,-11
2007,120040,10,8235,16
2007,120040,11,-528,1
2007,120040,13,-9920,35
2007,120040,14,30867,31
2007,120040,15,-226547,-292
2007,120040,16,10937,-122
2007,120040,17,70695,41
2007,120040,18,66444,73
2007,120040,19,-117830,-199
2007,120040,2,16325,38
2007,120040,20,25582,99
2007,120040,21,90492,153
2007,120040,22,-27056,-84
2007,120040,23,47193,4
2007,120040,24,-210390,-313
2007,120040,25,34067,99
2007,120040,3,-7297,-8
2007,120040,4,4457,9
2007,120040,5,596,2
2007,120040,6,-576,-1
2007,120040,7,85253,184
2007,120040,8,651,3
2007,120040,9,7985,23
2007,130260,1,12938,0
2007,130260,10,-1141274,72
2007,130260,11,-2973,85
2007,130260,12,-896,-2
2007,130260,13,280337,969
2007,130260,14,236444,372
2007,130260,15,3169415,4375
2007,130260,16,91191,1711
2007,130260,17,88453,977
2007,130260,18,-294652,63
2007,130260,19,227690,479
2007,130260,2,-50472,101
2007,130260,20,850644,1814
2007,130260,21,788063,2854
2007,130260,22,88574,235
2007,130260,23,201934,539
2007,130260,24,-48485,-35
2007,130260,25,-1898,70
2007,130260,3,343670,779
2007,130260,4,1210364,2163
2007,130260,5,-4059253,-361
2007,130260,6,2643054,4069
2007,130260,7,-21212,-31
2007,130260,8,-241435,57
2007,130260,9,-197729,-33
2007,140010,1,1606,3
2007,140010,10,438,1
2007,140010,11,-905,-2
2007,140010,12,-3176,-7
2007,140010,13,15097,43
2007,140010,14,-32550,51
2007,140010,15,415410,739
2007,140010,16,35749,211
2007,140010,17,-47838,-45
2007,140010,18,-3904,12
2007,140010,19,105138,140
2007,140010,2,3257,-5
2007,140010,20,41686,92
2007,140010,21,40092,107
2007,140010,22,25450,56
2007,140010,23,48595,53
2007,140010,24,910,2
2007,140010,25,-74128,-131
2007,140010,3,-146,2
2007,140010,5,-1567,-3
2007,140010,7,-22663,-39
2007,140010,8,8985,12
2007,140010,9,-4289,-8
2007,150080,1,528,1
2007,150080,10,-17465,-32
2007,150080,11,-11323,-21
2007,150080,13,232788,610
2007,150080,14,-367,-1
2007,150080,15,214657,488
2007,150080,16,-117346,613
2007,150080,17,155074,373
2007,150080,18,-18566,-1
2007,150080,19,221046,408
2007,150080,2,78208,146
2007,150080,20,-41971,6
2007,150080,21,51426,152
2007,150080,22,33502,83
2007,150080,23,17569,80
2007,150080,24,78637,31
2007,150080,25,-172,5
2007,150080,3,-20414,-19
2007,150080,4,-4915,-4
2007,150080,5,5954,9
2007,150080,6,384,1
2007,150080,7,-186607,-391
2007,150080,8,-12635,-2
2007,150080,9,-9884,-30
2007,150140,1,-1471,-5
2007,150140,10,17884,56
2007,150140,11,74711,85
2007,150140,13,-435623,553
2007,150140,14,1562,17
2007,150140,15,-1107148,-1215
2007,150140,16,-178571,2896
2007,150140,17,57883,479
2007,150140,18,-389343,107
