Ano,Município,Salário,SaldoMov
2007,110020,513380,2436
2007,120040,-105038,-219
2007,130260,4172492,21322
2007,140010,551247,1284
2007,150080,648108,2505
2007,150140,-1644741,7167
2007,150420,1158704,2560
2007,150553,1496950,2329
2007,150810,2540944,3397
2007,160030,292186,1369
2007,172100,369318,1775
2007,210530,488060,1767
2007,211130,5179152,10417
2007,221100,1192321,5094
2007,230370,-2107827,-2123
2007,230440,2247781,24032
2007,230765,-17367,2120
2007,240800,1504497,2586
2007,240810,2345263,11402
2007,250400,616394,2706
2007,250750,848771,5164
2007,260290,-943290,278
2007,260410,1329440,3724
2007,260720,634048,2439
2007,260790,1352365,4400
2007,260960,1142306,3546
2007,261110,62183,2390
2007,261160,5414641,18841
2007,270430,-2051038,712
2007,280030,-1027647,3495
2007,290570,-1563349,3360
2007,291080,1202203,3964
2007,291920,1716307,5789
2007,292740,1220880,19004
2007,292920,-403086,37
2007,293070,187812,1118
2007,293330,-617043,1299
2007,310400,618255,882
2007,310620,11098046,55471
2007,310670,4847585,10166
2007,311860,-5541093,3142
2007,312230,-62212,1637
2007,312510,93398,336
2007,312770,-428929,882
2007,313130,772084,4256
2007,313170,594938,1636
2007,313670,518631,4778
2007,314330,-313430,2608
2007,314480,2333605,3586
2007,314610,279643,705
2007,315180,-120407,1669
2007,315250,-68095,1826
2007,316720,516394,2518
2007,317010,-690969,659
2007,317020,442169,8825
2007,317070,516789,1573
2007,320060,-1571964,578
2007,320120,-12751215,599
2007,320130,227062,2797
2007,320320,-1194503,1366
2007,320430,-1506,19
2007,320500,-5207922,1559
2007,320520,-772895,4217
2007,320530,-1612731,7992
2007,330010,-947628,776
2007,330040,-1274163,315
2007,330045,18540,620
2007,330070,263958,1794
2007,330100,-4066056,-2590
2007,330170,2641099,9393
2007,330200,720840,1129
2007,330240,2828801,6796
2007,330270,281652,512
2007,330330,-3560994,4038
2007,330340,55210,1316
2007,330350,1752466,4840
2007,330390,119562,1991
2007,330415,-81362,-74
2007,330420,286098,1797
2007,330452,250934,517
2007,330455,16380021,84186
2007,330490,328244,3552
2007,330500,21137,164
2007,330510,236361,1829
2007,330580,2400202,1917
2007,330630,-1934537,2497
2007,350160,271452,3454
2007,350280,97232,1433
2007,350320,1659943,5463
2007,350330,1321854,2557
2007,350410,930660,1817
2007,350570,6028801,17033
2007,350600,2069569,5706
2007,350760,695291,1684
2007,350920,-808819,55
2007,350950,3157116,17272
2007,351060,1208325,2972
2007,351300,2358439,4945
2007,351350,-1107063,1037
2007,351380,876553,5585
2007,351500,2213898,4106
2007,351620,-1175900,1700
2007,351840,-833378,642
2007,351870,330701,1757
2007,351880,2356946,16150
2007,351907,2498372,2361
2007,352050,5155184,5326
2007,352250,773038,1584
2007,352310,100908,1729
2007,352340,323199,1653
2007,352390,2566871,3642
2007,352440,-111592,1546
2007,352470,-1386379,2954
2007,352590,3816788,11379
2007,352690,354770,3411
2007,352730,869117,1322
2007,352900,262280,1725
2007,352940,-354164,1975
2007,353060,2706057,6157
2007,353070,-347259,1566
2007,353080,251128,1323
2007,353440,1547294,9659
2007,353650,826377,2008
2007,353800,1180687,1902
2007,353870,2792607,8005
2007,353980,2500827,2703
2007,354100,139765,1015
2007,354140,-1230280,1831
2007,354340,1888777,9870
2007,354390,1256932,4459
2007,354520,63984,1095
2007,354580,251372,1507
2007,354730,1503984,2030
2007,354780,4872888,10804
2007,354850,-1461734,4887
2007,354870,2490636,14327
2007,354880,1068548,2288
2007,354890,437285,2616
2007,354980,-354753,5985
2007,354990,6568040,14932
2007,355030,99623277,234450
2007,355070,-208826,426
2007,355100,-196129,2153
2007,355170,4327399,5312
2007,355220,3081007,8614
2007,355240,2706209,3213
2007,355250,-292236,1327
2007,355280,1396595,4402
2007,355410,1056068,3529
2007,355620,741407,1339
2007,355670,418508,1619
2007,410180,169806,1512
2007,410480,544276,4453
2007,410690,128529,30572
2007,410830,-904823,1352
2007,410940,-283754,703
2007,411370,-709807,5991
2007,411520,134825,5907
2007,411820,187995,1064
2007,411915,1837640,3311
2007,411990,1495366,4019
2007,412550,788507,5875
2007,412770,-1040501,1930
2007,420240,-1242978,5025
2007,420290,88603,2285
2007,420420,1640451,5577
2007,420460,-473343,1237
2007,420540,1606141,8205
2007,420820,-1143175,3399
2007,420890,1445913,6041
2007,420910,-583757,10317
2007,420930,-331424,426
2007,421660,1939091,6248
2007,430210,212804,2330
2007,430310,-262203,1247
2007,430460,-381898,2948
2007,430510,2848055,11670
2007,430920,652376,3948
2007,430930,-21979,581
2007,431340,-1696932,2196
2007,431410,512334,2513
2007,431440,-381287,2671
2007,431490,-2102655,19983
2007,431560,184538,1487
2007,431680,-2095636,-626
2007,431690,-463800,1434
2007,431870,5228,1642
2007,432200,98084,594
2007,500270,176056,5886
2007,500370,-747957,1078
2007,500830,1841432,3993
2007,510340,1407670,6339
2007,510760,-370914,1441
2007,510840,877184,2929
2007,520110,-274280,3090
2007,520140,146210,4111
2007,520510,1655587,2729
2007,520870,-3995081,10609
2007,521880,153826,2742
2007,530010,-10776288,16364
2008,110020,1581201,3896
2008,120040,-1270326,132
2008,130260,-6045860,9673
2008,140010,-250859,449
2008,150080,-1104371,454
2008,150140,-599048,8684
2008,150420,-1180109,-520
2008,150553,3028799,4199
2008,150810,121899,479
2008,160030,-679879,1997
2008,172100,822415,1975
2008,210530,236339,1962
2008,211130,6044840,12670
2008,221100,3338522,9032
2008,230370,744619,1384
2008,230440,7803421,30012
2008,230765,-289196,1695
2008,240800,856707,2318
2008,240810,3645108,11293
2008,250400,567513,2072
2008,250750,887931,4605
2008,260290,1968702,2593
2008,260410,1306980,2715
2008,260720,2185375,2862
2008,260790,2268250,5384
2008,260960,111890,1714
2008,261110,388177,2144
2008,261160,7422608,24087
2008,270430,-943370,2241
2008,280030,1423927,6076
2008,290570,-7961637,-1792
2008,291080,1083603,4067
2008,291920,-1646131,-1408
2008,292740,2082455,23492
2008,292920,142023,616
2008,293070,-1005519,32
2008,293330,-823457,763
2008,310400,342047,913
2008,310620,10080922,47320
2008,310670,-2635890,2202
2008,311860,-3540222,5145
2008,312230,-452542,1108
2008,312510,299274,686
2008,312770,-1212725,242
2008,313130,1126886,4280
2008,313170,-270164,250
2008,313670,635685,5363
2008,314330,-305059,2082
2008,314480,-144181,1501
2008,314610,-750544,-213
2008,315180,193995,2267
2008,315250,564904,1376
2008,316720,-255991,1607
2008,317010,-454773,1750
2008,317020,-348416,9312
2008,317070,-873838,-46
2008,320060,-1848671,-557
2008,320120,-907230,1142
2008,320130,-987328,1560
2008,320320,-1614313,215
2008,320430,2395,14
2008,320500,-128562,5814
2008,320520,2176107,6010
2008,320530,-484947,7823
2008,330010,-681557,591
2008,330040,84122,1886
2008,330045,57400,446
2008,330070,-488612,532
2008,330100,-66121,1989
2008,330170,-149521,9857
2008,330200,3462617,1887
2008,330240,1907709,10013
2008,330270,-17074,211
2008,330330,3293339,9253
2008,330340,579981,2429
2008,330350,-973867,1763
2008,330390,768023,2874
2008,330415,-15678,25
2008,330420,1886319,2323
2008,330452,927313,1393
2008,330455,26806036,84147
2008,330490,-326331,2656
2008,330500,358659,728
2008,330510,45708,1623
2008,330580,-308970,991
2008,330630,-1898692,2911
2008,350160,-1118707,2214
2008,350280,-658284,1486
2008,350320,-481537,1951
2008,350330,785115,2039
2008,350410,599050,2000
2008,350570,1578039,7049
2008,350600,1647304,5170
2008,350760,-103327,1071
2008,350920,-2875825,-1228
2008,350950,194996,14290
2008,351060,1052301,2661
2008,351300,686000,3839
2008,351350,-2566096,496
2008,351380,-2632151,2045
2008,351500,1214201,2058
2008,351620,-2113353,-329
2008,351840,-870037,502
2008,351870,-254158,1690
2008,351880,-2364244,10358
2008,351907,80945,1556
2008,352050,55921,2079
2008,352250,540116,1215
2008,352310,-836192,309
2008,352340,-192450,1413
2008,352390,1843069,3545
2008,352440,-1502081,1384
2008,352470,-1223583,422
2008,352590,-2592529,7727
2008,352690,-681415,2011
2008,352730,428247,1014
2008,352900,704116,2670
2008,352940,-95666,2334
2008,353060,1953685,5521
2008,353070,-855766,1081
2008,353080,-250388,1145
2008,353440,-427838,5563
2008,353650,-14780,1730
2008,353800,949141,1521
2008,353870,2153739,5929
2008,353980,3191217,5420
2008,354100,498245,1322
2008,354140,197658,3233
2008,354340,2610244,10470
2008,354390,-1688759,790
2008,354520,-75764,816
2008,354580,-522414,2135
2008,354730,1552747,2942
2008,354780,-161546,7308
2008,354850,-234112,6735
2008,354870,-974069,11351
2008,354880,163230,3157
2008,354890,-1350457,507
2008,354980,502723,6758
2008,354990,2334166,13674
2008,355030,98905166,232624
2008,355070,-358797,243
2008,355100,-1743067,915
2008,355170,-615068,977
2008,355220,3025063,9808
2008,355240,1370411,2194
2008,355250,-713070,809
2008,355280,470113,2673
2008,355410,1248325,3422
2008,355620,579931,1491
2008,355670,-263149,998
2008,410180,1481669,3170
2008,410480,-1051427,2861
2008,410690,-1835937,28212
2008,410830,293797,1935
2008,410940,-527883,691
2008,411370,-1284788,8225
2008,411520,822295,8657
2008,411820,-999237,-336
2008,411915,-405487,1163
2008,411990,602657,3048
